A.NET                     |wikipedia.org/wiki/A_Sharp_(.NET)
A-0 System                |wikipedia.org/wiki/A-0_System
A+                        |wikipedia.org/wiki/A%2B_(programming_language)
ABAP                      |wikipedia.org/wiki/ABAP
ABC                       |wikipedia.org/wiki/ABC_(programming_language)
ACC                       |wikipedia.org/wiki/ACC_(programming_language)
Accent                    |wikipedia.org/wiki/Accent_(programming_language)
Action!                   |wikipedia.org/wiki/Action!_(programming_language)
ActionScript              |wikipedia.org/wiki/ActionScript
Actor                     |wikipedia.org/wiki/Actor_(programming_language)
Ada                       |wikipedia.org/wiki/Ada_(programming_language)
ISO/IEC 8652              |wikipedia.org/wiki/ISO/IEC_8652
Adenine                   |wikipedia.org/wiki/Adenine_(programming_language)
AdvPL                     |wikipedia.org/wiki/AdvPL
Agda                      |wikipedia.org/wiki/Agda_(programming_language)
Agilent VEE               |wikipedia.org/wiki/Agilent_VEE
Agora                     |wikipedia.org/wiki/Agora_(programming_language)
AIMMS                     |wikipedia.org/wiki/AIMMS
Aldor                     |wikipedia.org/wiki/Aldor
Alef                      |wikipedia.org/wiki/Alef_(programming_language)
Algebraic Logic Functional|wikipedia.org/wiki/Algebraic_Logic_Functional_programming_language
ALGOL 58                  |wikipedia.org/wiki/ALGOL_58
ALGOL 60                  |wikipedia.org/wiki/ALGOL_60
ALGOL 68                  |wikipedia.org/wiki/ALGOL_68
ALGOL W                   |wikipedia.org/wiki/ALGOL_W
Alice ML                  |wikipedia.org/wiki/Alice_(programming_language)
Alma-0                    |wikipedia.org/wiki/Alma-0
AmbientTalk               |wikipedia.org/wiki/AmbientTalk
Amiga E                   |wikipedia.org/wiki/Amiga_E
AMPL                      |wikipedia.org/wiki/AMPL
Analitik                  |wikipedia.org/wiki/%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
AngelScript               |wikipedia.org/wiki/AngelScript
Apache Pig latin          |wikipedia.org/wiki/Apache_Pig
Apex                      |wikipedia.org/wiki/Apex_(programming_language)
APL                       |wikipedia.org/wiki/APL_(programming_language)
App Inventor for Android  |wikipedia.org/wiki/App_Inventor_for_Android_(programming_language)
AppleScript               |wikipedia.org/wiki/AppleScript
APT                       |wikipedia.org/wiki/APT_(programming_language)
Arc                       |wikipedia.org/wiki/Arc_(programming_language)
ArkTS                     |wikipedia.org/wiki/ArkTS
ARexx                     |wikipedia.org/wiki/ARexx
Argus                     |wikipedia.org/wiki/Argus_(programming_language)
Assembly language         |wikipedia.org/wiki/Assembly_language
AssemblyScript            |wikipedia.org/wiki/AssemblyScript
ATS                       |wikipedia.org/wiki/ATS_(programming_language)
AutoHotkey                |wikipedia.org/wiki/AutoHotkey
AutoIt                    |wikipedia.org/wiki/AutoIt
AutoLISP                  |wikipedia.org/wiki/AutoLISP
Averest                   |wikipedia.org/wiki/Averest
AWK                       |wikipedia.org/wiki/AWK
Axum                      |wikipedia.org/wiki/Axum_(programming_language)
B                         |wikipedia.org/wiki/B_(programming_language)
Babbage                   |wikipedia.org/wiki/Babbage_(programming_language)
Ballerina                 |wikipedia.org/wiki/Ballerina_(programming_language)
Bash                      |wikipedia.org/wiki/Bash_(Unix_shell)
BASIC                     |wikipedia.org/wiki/BASIC
Batch file                |wikipedia.org/wiki/Batch_file
bc                        |wikipedia.org/wiki/Bc_(programming_language)
BCPL                      |wikipedia.org/wiki/BCPL
BeanShell                 |wikipedia.org/wiki/BeanShell
BETA                      |wikipedia.org/wiki/BETA_(programming_language)
BLISS                     |wikipedia.org/wiki/BLISS
Blockly                   |wikipedia.org/wiki/Blockly
BlooP                     |wikipedia.org/wiki/BlooP_and_FlooP
Boo                       |wikipedia.org/wiki/Boo_(programming_language)
Boomerang                 |wikipedia.org/wiki/Boomerang_(programming_language)
Bosque                    |wikipedia.org/wiki/Bosque_(programming_language)
C                         |wikipedia.org/wiki/C_(programming_language)
C--                       |wikipedia.org/wiki/C--
C++                       |wikipedia.org/wiki/C%2B%2B
C*                        |wikipedia.org/wiki/C*
C#                        |wikipedia.org/wiki/C_Sharp_(programming_language)
C/AL                      |wikipedia.org/wiki/C/AL
Cache ObjectScript        |wikipedia.org/wiki/Cach%C3%A9_ObjectScript
C Shell                   |wikipedia.org/wiki/C_Shell
Caml                      |wikipedia.org/wiki/Caml
Carbon                    |wikipedia.org/wiki/Carbon_(programming_language)
Catrobat                  |wikipedia.org/wiki/Catrobat
